"site.id","constituent","Month","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","NO3","2002-07",31,1813152.82769095,341198.513083007,1236196.83332588,2568432.60330056,31,1923114.53215115,363221.478811832,1309272.3808132,2727456.7698072,31,3210411.45808544,NA,NA,NA,31,2924619.30237425,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2002-08",31,1950583.75279615,370052.578322225,1325636.05838113,2770440.21928763,31,2107452.65456087,409134.948251653,1419048.72869726,3016136.73687021,31,4063961.61475414,NA,NA,NA,31,3527362.5210208,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2002-09",30,2115819.07740873,405977.870219303,1431436.89055215,3016357.19003165,30,2448497.96386148,483092.516126123,1637802.03586117,3523324.73685583,30,2392222.23734981,NA,NA,NA,30,2383393.51569737,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2002-10",31,1403768.99495205,282988.553312632,930578.540148334,2034876.36124426,31,1227720.81641098,249957.251927698,810464.014869484,1785775.13358981,31,1372986.04796501,NA,NA,NA,31,1268060.05450144,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2002-11",30,1883546.35347184,361409.37710849,1274295.88830749,2685222.71020313,30,2161109.57742075,419453.175911848,1455317.46828579,3092686.70462747,30,1866320.0112328,NA,NA,NA,30,1716968.36824311,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2002-12",31,2606058.97892318,492926.970523758,1773206.27152058,3697798.21742885,31,3093487.51489652,595844.26803398,2089651.89046469,4415728.2618059,31,2528277.46549806,NA,NA,NA,31,3035163.67571482,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-01",31,3290201.56088552,644382.246373011,2207524.40049764,4722727.55905043,31,3192447.57502355,619193.740458429,2150444.17760287,4567531.17621958,31,1333067.53291619,NA,NA,NA,31,1326867.82426156,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-02",28,3626676.66312809,722772.526265017,2415785.22499328,5236533.18088211,28,3168132.16653588,659827.403660488,2070991.01530502,4645017.26515849,28,1092718.24903198,NA,NA,NA,28,1002763.35441651,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-03",31,2501355.86923777,461848.919144935,1718078.67249965,3521671.63982559,31,2685490.33148626,482067.332296734,1864430.87989947,3747376.2236581,31,2747660.63757728,NA,NA,NA,31,2959676.71303567,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-04",30,2142302.04381856,404095.35211366,1459243.95194494,3037035.26921445,30,2327504.98403586,427386.112489726,1602063.08398334,3271143.68021827,30,2906455.96200889,NA,NA,NA,30,2716589.23875321,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-05",31,2073684.45230837,380813.774055332,1427303.21378455,2914502.76344009,31,2201415.55614825,390964.451970456,1534466.66096272,3061683.2835301,31,2074055.61739431,NA,NA,NA,31,2126500.85624567,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-06",30,1896899.10837406,349949.781810929,1303322.20057691,2669940.13506009,30,1902459.38545413,336350.836408398,1328296.18446432,2642218.58494462,30,1621944.35514797,NA,NA,NA,30,1526075.87494589,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-07",31,1826413.42400671,333347.352449838,1260070.20140549,2561958.69585926,31,1711075.67133816,301664.446292769,1195911.39354093,2374357.98070896,31,1439041.53914478,NA,NA,NA,31,1495276.99818725,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-08",31,1686318.43500881,311180.890174973,1158521.3032265,2373737.22006998,31,1426531.94994879,265166.90873112,977284.32211197,2012749.22269688,31,1300257.15427265,NA,NA,NA,31,1278068.10785637,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-09",30,1567784.40589399,296941.573325726,1066176.8019312,2225547.57262827,30,1240477.81519307,245355.116306538,828906.594584939,1786513.08242156,30,801667.216308438,NA,NA,NA,30,807844.377151968,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2003-10",31,1503485.62000809,291524.606984576,1012873.41621599,2150872.78603639,31,1215747.95118402,240128.135159417,812851.661531051,1750069.120565,31,720589.995199103,NA,NA,NA,31,778868.015995601,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
