"date","Q","PT","CODIGO_ESTACAO","status"
"2001-02-06",285.000337536144,0.117,"MOGU02900",1
"2001-04-03",305.360213715823,0.135,"MOGU02900",1
"2001-06-20",115.447474292986,0.08,"MOGU02900",1
"2001-08-07",82.0867414371864,0.065,"MOGU02900",1
"2001-10-02",104.302059436951,0.091,"MOGU02900",1
"2001-12-04",172.820012191975,0.003,"MOGU02900",1
"2002-02-19",589.307315476025,0.08,"MOGU02900",1
"2002-04-22",206.899520823196,0.107,"MOGU02900",1
"2002-06-26",136.404587156727,0.13,"MOGU02900",1
"2002-08-07",189.269064437088,0.13,"MOGU02900",1
"2002-10-02",117.660618062828,0.058,"MOGU02900",1
"2002-12-10",173.148105700229,0.08,"MOGU02900",1
"2003-02-05",729.539428380469,0.069,"MOGU02900",1
"2003-04-09",272.72252283593,0.092,"MOGU02900",1
"2003-06-09",158.793841799374,0.061,"MOGU02900",1
"2003-08-06",92.0825050234974,0.085,"MOGU02900",1
"2003-10-01",72.4661735397473,0.056,"MOGU02900",1
"2003-12-08",364.103170788811,0.061,"MOGU02900",1
"2004-02-11",392.166525180267,0.1,"MOGU02900",1
"2004-04-07",266.731464056293,0.08,"MOGU02900",1
"2004-06-16",282.525960715079,0.13,"MOGU02900",1
"2004-08-11",145.34454949547,0.098,"MOGU02900",1
"2004-10-25",188.256789041772,0.144,"MOGU02900",1
"2004-12-06",158.169285528418,0.17,"MOGU02900",1
"2005-02-16",341.004234507444,0.103,"MOGU02900",1
"2005-04-06",307.477374273129,0.116,"MOGU02900",1
"2005-06-15",167.662820926815,0.041,"MOGU02900",1
"2005-08-10",112.656068684216,0.052,"MOGU02900",1
"2005-10-24",106.908455448234,0.023,"MOGU02900",1
"2005-12-07",185.925207142689,0.13,"MOGU02900",1
"2006-02-15",537.977251616539,0.152,"MOGU02900",1
"2006-04-05",306.578994288686,0.145,"MOGU02900",1
"2006-06-20",116.49959955665,0.06,"MOGU02900",1
"2006-08-09",97.4159952504237,0.1,"MOGU02900",1
"2006-10-23",131.626516416635,0.2,"MOGU02900",1
"2006-12-04",142.400875597773,0.094,"MOGU02900",2
"2007-02-28",370.70231568503,0.076,"MOGU02900",1
"2007-04-11",299.787818784119,0.01,"MOGU02900",1
"2007-06-14",163.917873617706,0.109,"MOGU02900",1
"2007-08-08",157.360296915827,0.12,"MOGU02900",1
"2007-10-22",74.0417404373029,0.047,"MOGU02900",1
"2007-12-03",92.8462060465273,0.051,"MOGU02900",1
"2008-02-18",350.643616299229,0.089,"MOGU02900",1
"2008-04-09",375.694230389183,0.054,"MOGU02900",1
"2008-06-12",219.447345574863,0.041,"MOGU02900",0
"2008-08-11",192.833217780351,0.07,"MOGU02900",1
"2008-10-21",108.081948920099,0.057,"MOGU02900",1
"2008-12-02",143.935458164072,0.09,"MOGU02900",1
"2009-02-04",591.780559578281,0.133,"MOGU02900",1
"2009-04-06",284.514038407914,0.054,"MOGU02900",1
"2009-06-24",165.620068627792,0.055,"MOGU02900",1
"2009-08-19",125.501814510997,0.08,"MOGU02900",1
"2009-10-21",280.46655671055,0.13,"MOGU02900",1
"2009-12-09",647.160715930112,0.16,"MOGU02900",1
"2010-02-03",887.007299051803,0.08,"MOGU02900",1
"2010-04-08",462.773911622124,0.045,"MOGU02900",1
"2010-06-23",166.155186631212,0.051,"MOGU02900",1
"2010-08-18",110.006482157037,0.055,"MOGU02900",1
"2010-10-20",106.318642687773,0.05,"MOGU02900",1
"2010-12-15",187.883989295419,0.069,"MOGU02900",1
"2011-02-23",277.99939195442,0.082,"MOGU02900",1
"2011-04-27",253.042812743933,0.08,"MOGU02900",1
"2011-06-27",169.242803116805,0.13,"MOGU02900",1
"2011-08-24",116.898354317776,0.059,"MOGU02900",1
"2011-10-31",152.246808189974,0.073,"MOGU02900",1
"2011-12-14",426.485715073278,0.087,"MOGU02900",1
"2012-02-15",517.094183412594,0.16,"MOGU02900",1
"2012-04-11",196.880123922739,0.007,"MOGU02900",1
"2012-06-27",425.279696106596,0.053,"MOGU02900",2
"2012-08-20",128.916896647745,0.042,"MOGU02900",0
"2012-10-31",141.05772242297,0.007,"MOGU02900",0
"2012-12-17",291.594280695639,0.077,"MOGU02900",1
"2013-02-18",421.424857407507,0.067,"MOGU02900",1
"2013-04-22",257.899192215323,0.071,"MOGU02900",1
"2013-06-24",199.068168226649,0.043,"MOGU02900",1
"2013-08-12",136.261794797654,0.044,"MOGU02900",1
"2013-10-28",146.382070694395,0.071,"MOGU02900",1
"2013-12-09",185.610182967105,0.11,"MOGU02900",1
"2014-02-11",82.5720241142027,0.049,"MOGU02900",1
"2014-04-23",103.672149746732,0.032,"MOGU02900",1
"2014-06-03",80.5532576218666,0.064,"MOGU02900",1
"2014-08-26",53.0277980152423,0.046,"MOGU02900",1
"2014-10-28",42.8891530939193,0.043,"MOGU02900",1
"2014-12-09",86.1392279948024,0.077,"MOGU02900",1
