"date","Q","PT","CODIGO_ESTACAO","status"
"2002-11-28",4.90498443438154,0.122,"ORIZ02900",1
"2002-12-17",12.1379865410491,0.203,"ORIZ02900",1
"2003-01-13",8.92312702197772,0.202,"ORIZ02900",1
"2003-02-17",11.0791288058636,0.089,"ORIZ02900",1
"2003-03-11",11.2913231419971,0.136,"ORIZ02900",1
"2003-04-14",7.15318795701282,0.123,"ORIZ02900",1
"2003-05-19",4.94589622106929,0.023,"ORIZ02900",1
"2003-06-23",3.80407262636597,0.174,"ORIZ02900",1
"2003-08-18",2.73059570239351,0.163,"ORIZ02900",1
"2003-09-08",2.32761661270237,0.154,"ORIZ02900",1
"2003-10-13",3.44180286912773,0.231,"ORIZ02900",1
"2003-11-17",3.68147157582266,0.294,"ORIZ02900",1
"2003-12-15",5.63121222949212,0.147,"ORIZ02900",1
"2004-02-18",14.0030920181584,0.098,"ORIZ02900",1
"2004-04-26",8.24971546018453,0.13,"ORIZ02900",1
"2004-06-28",6.10503350940918,0.14,"ORIZ02900",2
"2004-08-23",3.75878787846368,0.24,"ORIZ02900",1
"2004-10-13",4.1676018094995,0.21,"ORIZ02900",1
"2004-11-29",5.27433851956893,0.118,"ORIZ02900",1
"2005-02-02",21.9607205707069,0.095,"ORIZ02900",1
"2005-04-27",6.47085917648836,0.06,"ORIZ02900",1
"2005-06-13",5.03425989693777,0.167,"ORIZ02900",1
"2005-08-22",2.85476781003345,0.277,"ORIZ02900",1
"2005-10-31",5.63829632301772,0.193,"ORIZ02900",1
"2005-12-14",4.68044454756787,0.285,"ORIZ02900",1
"2006-02-20",16.0303472873077,0.149,"ORIZ02900",1
"2006-04-03",11.5827622724878,0.043,"ORIZ02900",1
"2006-05-22",4.24359603871134,0.085,"ORIZ02900",1
"2006-07-17",3.09205840447133,0.15,"ORIZ02900",1
"2006-09-11",2.39559109102801,0.4,"ORIZ02900",1
"2006-11-20",2.74993355632061,0.348,"ORIZ02900",1
"2007-01-22",25.2839453923307,0.091,"ORIZ02900",1
"2007-03-19",13.0231757528162,0.023,"ORIZ02900",1
"2007-05-21",4.65897011205662,0.203,"ORIZ02900",1
"2007-07-23",5.24815324004911,0.122,"ORIZ02900",1
"2007-09-20",2.44366741598419,0.307,"ORIZ02900",1
"2007-11-26",3.97065774651189,0.202,"ORIZ02900",1
"2008-01-21",10.5008377785064,0.084,"ORIZ02900",1
"2008-03-24",16.9433067737789,0.11,"ORIZ02900",1
"2008-05-26",6.65817002776667,0.077,"ORIZ02900",1
"2008-09-15",2.9415538564787,0.315,"ORIZ02900",1
"2008-11-24",3.90312043015214,0.134,"ORIZ02900",1
"2009-02-09",16.7283672367853,0.151,"ORIZ02900",1
"2009-04-29",6.42215848021153,0.083,"ORIZ02900",1
"2009-06-29",5.90039995788126,0.094,"ORIZ02900",2
"2009-08-10",3.93212305805248,0.6,"ORIZ02900",1
"2009-10-26",7.60689343494142,0.4,"ORIZ02900",1
"2009-12-28",12.0546819022401,0.04,"ORIZ02900",1
"2010-02-10",17.2557045571646,0.2,"ORIZ02900",1
"2010-04-28",7.36490222888679,0.5,"ORIZ02900",1
"2010-06-21",4.9866414831861,0.151,"ORIZ02900",1
"2010-10-06",5.08174717794508,0.13,"ORIZ02900",1
"2010-10-27",2.82524571456549,0.19,"ORIZ02900",1
"2010-12-20",5.95245721699115,0.094,"ORIZ02900",1
"2011-02-14",7.50683089216135,0.072,"ORIZ02900",1
"2011-04-18",13.6589656421895,0.07,"ORIZ02900",1
"2011-06-01",5.30987363899684,0.09,"ORIZ02900",1
"2011-08-22",3.31893930696067,0.082,"ORIZ02900",1
"2011-10-10",2.53991366134174,0.36,"ORIZ02900",1
"2011-12-07",6.88237717820278,0.035,"ORIZ02900",1
"2012-02-01",13.9207086759348,0.007,"ORIZ02900",1
"2012-04-16",5.25225995978391,0.007,"ORIZ02900",1
"2012-06-11",8.0494849796412,0.062,"ORIZ02900",1
"2012-08-13",3.99952552417459,0.102,"ORIZ02900",1
"2012-10-17",3.02805126742835,0.158,"ORIZ02900",1
"2012-12-17",8.57911334097315,0.129,"ORIZ02900",1
"2013-02-04",11.7240147885341,0.093,"ORIZ02900",1
"2013-04-09",13.1777797799262,0.092,"ORIZ02900",0
"2013-06-11",6.29551100016349,0.1,"ORIZ02900",1
"2013-08-28",3.36570322278763,0.2,"ORIZ02900",1
"2013-10-22",5.6135744426649,0.2,"ORIZ02900",1
"2013-12-03",5.99296180551033,0.3,"ORIZ02900",0
"2014-02-17",2.91006405155444,0.3,"ORIZ02900",1
"2014-04-23",3.05018027396743,0.3,"ORIZ02900",2
"2014-06-10",2.20519310516644,0.4,"ORIZ02900",1
"2014-08-19",1.64670979278283,0.8,"ORIZ02900",1
"2014-10-14",1.21326784305492,2,"ORIZ02900",1
"2014-12-02",4.74703529364317,0.4,"ORIZ02900",1
