"site.id","constituent","Water_Year","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"ORIZ02900","NO3","2001",273,43583.536014072,11901.7074090055,24855.519093783,71119.1763684855,273,34380.8374197212,25168.5567404808,7682.95459994813,100170.930019607,273,6156.60589812575,NA,NA,NA,273,3601.2403328755,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2002",365,49473.7222205592,10952.3574574224,31462.5917757704,74161.0586204606,365,41198.0070026109,21544.5384149538,13926.8230189975,95699.3529371542,365,6950.08320815368,NA,NA,NA,365,5147.50188248976,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2003",365,48831.3352639698,9998.21751432802,32157.3623003884,71167.4382174958,365,43600.018689111,15389.9306476573,21003.9966641149,80477.6586351912,365,6954.22467378967,NA,NA,NA,365,4321.33699945864,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2004",366,56887.3685382863,9843.39376310147,40031.8853762722,78489.857191523,366,54029.9709671413,13119.915220726,32843.4781083853,83934.1728452094,366,31419.6320025086,NA,NA,NA,366,32008.0745406722,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2005",365,59242.8875951927,8997.85415393801,43564.9188108972,78746.4761277534,365,58832.0983396236,9840.99378050821,41900.374455631,80357.4350404042,365,97093.7777241958,NA,NA,NA,365,118587.260396489,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2006",365,56800.7908926596,8235.75406145517,42369.8462321944,74578.9534935859,365,57274.2485532484,8090.62041940388,43054.5035609796,74699.7824671648,365,56674.6063000416,NA,NA,NA,365,56135.3205496703,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2007",365,67742.9500737194,8006.50351404172,53406.6830403769,84743.8194373994,365,67385.9364340972,8239.88621952683,52680.0811693719,84927.1458375586,365,71467.0634492954,NA,NA,NA,365,73167.6351765125,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2008",366,72816.4340676542,8012.77838542382,58375.2647159156,89743.4320696709,366,75294.9504036685,9718.49883056114,58044.747665354,96071.1911162724,366,29778.8684938849,NA,NA,NA,366,31140.3299247876,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2009",365,78367.0519073033,8506.10211253096,63018.4798846168,96319.104495067,365,83054.7170180637,11206.6106450359,63257.0568753988,107098.620033918,365,66326.8428246851,NA,NA,NA,365,70607.7122040828,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2010",365,87772.5985380742,10816.7962601207,68482.5326483578,110813.313293297,365,85818.4528957394,11827.0673792756,64973.4572720359,111238.26322956,365,74984.7422810837,NA,NA,NA,365,75682.4699978117,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2011",365,86669.5460400545,10299.2888538307,68237.3860404664,108547.709344326,365,89760.0592912462,11461.084263939,69394.0409138538,114240.631076468,365,93281.6050110322,NA,NA,NA,365,106343.611900486,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"ORIZ02900","NO3","2012",366,92436.6220648511,12598.215297603,70205.0383394732,119488.695461484,366,100047.520281654,13405.7211341048,76346.9385876539,128793.149394614,366,138418.817655483,NA,NA,NA,366,142763.893708053,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
