"site.id","constituent","Month","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","PT","2001-01",31,1141066.11311425,298685.271246504,666479.275400959,1828323.49227116,31,997972.066581869,344072.217294558,489164.202592989,1819715.59693793,31,1281619.1050547,NA,NA,NA,31,1140665.26807351,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-02",28,1213011.43258254,317877.639101972,708057.911484433,1944535.62787682,28,1081040.90385324,358895.40231906,544371.925994937,1933661.13261812,28,1361063.78059451,NA,NA,NA,28,1258144.90438394,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-03",31,667058.710917696,180722.97846805,382154.074005678,1084745.50493585,31,598513.254554111,194389.131542555,306009.357215562,1058910.95176271,31,825522.217882941,NA,NA,NA,31,946259.74573246,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-04",30,564829.939420397,154453.818614576,321866.132846296,922236.273469459,30,513895.883991723,164022.267043936,265879.519019841,901434.550259473,30,718650.598651505,NA,NA,NA,30,835088.450085418,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-05",31,427979.61150872,112919.898632784,248879.285069344,688066.553578753,31,393730.003288619,119963.211059658,210040.781204429,675367.053588738,31,431907.297114028,NA,NA,NA,31,469738.615319018,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-06",30,337444.451780396,87592.3740767519,198006.551711074,538773.406862543,30,316581.918000606,93820.8182952476,171883.136143671,536017.854880915,30,308491.970433953,NA,NA,NA,30,307079.0106565,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-07",31,267287.195330961,68571.2869908652,157845.339506615,424661.124821353,31,256924.104352429,76283.4383492867,139329.452226778,435387.240586124,31,221869.406460169,NA,NA,NA,31,219409.269373936,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-08",31,235418.290651073,60392.1324815824,139029.445299072,374019.75152458,31,229528.784818237,69642.6417231905,122773.884938725,392935.601176165,31,175255.474506233,NA,NA,NA,31,170963.702326339,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-09",30,380259.441746126,99729.340317718,221866.359594058,609787.771659669,30,351096.802408016,107063.964503903,187195.632394178,602479.304902529,30,346892.427693886,NA,NA,NA,30,314207.323588306,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-10",31,505513.390780143,127501.928555109,301262.871329123,797507.446561601,31,456137.642395036,138571.690853074,243791.198818677,781332.033546265,31,469592.915719971,NA,NA,NA,31,414885.045800348,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
