"site.id","constituent","Season","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","PT","2005-10-01",92,421816.190891942,72836.1848364667,297056.897964401,581630.614337456,92,429508.420984902,84951.1528398043,287006.549513471,618565.92541828,92,343288.007255864,NA,NA,NA,92,360095.068555819,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2006-01-01",89,1131429.35037126,201715.734247248,787517.096953186,1575453.55535587,89,1188498.88114593,235320.452108348,793828.777720182,1712262.04455391,89,1555704.1672296,NA,NA,NA,89,1605340.81328606,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2006-04-01",92,466113.441929374,83439.8378823435,323939.778786481,649860.641222876,92,488946.993057809,101862.489363245,319581.678990503,716952.225418746,92,601249.047891391,NA,NA,NA,92,633341.800037927,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2006-07-01",92,234052.862105798,40252.8177105655,165065.408014439,322338.89130729,92,253870.62755082,55912.6747343682,161833.996899469,379825.593722666,92,299119.411915611,NA,NA,NA,92,314074.261031963,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2006-10-01",92,469399.653809556,78083.3071517949,334952.4749986,640100.366003718,92,479002.714748725,94941.4458666459,319798.477401621,690342.418109119,92,749588.932102593,NA,NA,NA,92,700447.551740012,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2007-01-01",89,2047938.07733796,427243.780142937,1337739.76735971,3004415.67282189,89,2225199.41255447,623560.644558365,1250008.84795239,3672769.95359182,89,1725824.34068747,NA,NA,NA,89,1257088.89034858,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2007-04-01",92,535897.374360575,90259.4033981169,380751.127225858,733455.3846559,92,557899.51213692,113122.595540582,368931.101752354,810342.329047798,92,355005.986966512,NA,NA,NA,92,346692.195286434,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2007-07-01",92,455893.699836957,95163.514075784,297721.248324932,668951.558970999,92,476230.040864666,106060.062215104,302010.54281918,715464.668898937,92,553412.466752962,NA,NA,NA,92,514717.490462555,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2007-10-01",92,447185.770143078,76141.2597000238,316505.829604224,614020.164746062,92,458561.568690109,92609.9529333549,303754.185029482,665137.215408743,92,336270.368776925,NA,NA,NA,92,246196.655536193,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2008-01-01",90,1197382.03492597,208169.869594599,841161.271939525,1654451.36953189,90,1266905.93067011,254911.371253062,840526.575680598,1835277.07152035,90,1026431.31376055,NA,NA,NA,90,946450.035774889,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2008-04-01",92,892109.813698764,158726.822571687,621409.850748829,1241433.17583589,92,933733.111053689,186017.418524281,622070.855523989,1348039.25093948,92,525325.854011819,NA,NA,NA,92,529005.607125448,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2008-07-01",92,370236.17897072,63956.1246792795,260693.780766304,510572.076027098,92,384869.3120901,74952.6588147757,258819.556153143,551394.849442814,92,253760.515018452,NA,NA,NA,92,288427.853009145,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2008-10-01",92,422792.452872816,70581.7795960307,301321.285961114,577147.233269416,92,433467.937062047,86063.1180384306,289192.43414255,625080.320950854,92,423247.74106573,NA,NA,NA,92,383065.909500446,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2009-01-01",89,1414256.49920279,264343.048930304,966788.847789802,1998991.87797271,89,1504395.67626022,330412.244567405,960231.149646309,2248477.35356444,89,1503964.48845717,NA,NA,NA,89,1563080.40331635,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2009-04-01",92,593349.162598302,101444.98317022,419341.871366305,815717.295633273,92,612967.715851392,120502.994398166,410626.546963007,880967.798880535,92,395043.071353274,NA,NA,NA,92,391052.187736454,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2009-07-01",92,668425.789656822,151307.566541945,420648.400661278,1010380.5896116,92,671420.742406948,156716.367468927,416314.830229295,1026902.40292527,92,634459.020390203,NA,NA,NA,92,533190.392466124,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2009-10-01",92,1389843.27647682,335815.296582336,846999.990964954,2154796.90985249,92,1430584.28039697,365919.679583359,846184.510961106,2270068.10558556,92,1639573.44675965,NA,NA,NA,92,1766342.97592035,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2010-01-01",89,1948408.83753463,412216.522498761,1264885.42061326,2872714.29326933,89,2081282.02810092,543263.588111599,1217535.14725702,3330848.7514891,89,1259860.21940036,NA,NA,NA,89,1412549.84982614,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2010-04-01",92,623886.385474437,111312.123737685,434127.407415552,868929.439749273,92,637791.190124611,122986.333367668,430630.567720661,910744.06260301,92,330338.915819722,NA,NA,NA,92,359847.887958584,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2010-07-01",92,312596.345286904,56129.153667761,217000.845479163,436239.754008779,92,320182.628088823,60362.4729774874,218140.955977447,453827.40194736,92,214344.225470819,NA,NA,NA,92,207570.538689946,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2010-10-01",92,428745.156163475,74219.6635529897,301661.989652338,591636.093868386,92,425183.667378678,81975.24771423,287099.237456719,607114.287369132,92,344176.713270945,NA,NA,NA,92,318699.827370544,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2011-01-01",89,1519800.42040393,321234.629286142,987050.660019852,2240021.43887155,89,1583394.74657465,384294.964317145,962756.696393921,2459262.67042961,89,1563241.71366576,NA,NA,NA,89,1167197.980281,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2011-04-01",92,649579.621807768,123016.919024581,441769.739801166,922074.189728976,92,652310.116457423,127213.367285339,438420.753123973,934988.103621076,92,790297.679771675,NA,NA,NA,92,749219.929013606,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2011-07-01",92,310505.702589205,58014.034847161,212296.034588303,438829.148316825,92,310479.125982129,59220.2516065983,210552.920295136,441757.636486923,92,334042.705874489,NA,NA,NA,92,333438.16926665,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2011-10-01",92,638445.383813808,130011.302769098,421423.661538797,928715.280112527,92,613524.016091191,134164.955329158,392386.54446442,915507.898367932,92,547864.72468574,NA,NA,NA,92,557652.307504071,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2012-01-01",90,1014199.4860395,202938.782867066,674436.480831895,1466412.28207978,90,1007996.24407024,207997.460667108,661585.025424817,1473068.94728256,90,1394490.83230346,NA,NA,NA,90,1482597.17361178,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2012-04-01",92,631397.188606839,130001.785178702,414802.333340091,922003.656516038,92,611089.044053042,132019.069385491,393003.157109903,907824.702544353,92,170779.958043417,NA,NA,NA,92,208456.659702578,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2012-07-01",92,406319.482970645,86684.4235255039,262797.018383505,600876.097673558,92,386734.195467561,89142.7360934395,241267.301333568,588632.649500016,92,154316.946781235,NA,NA,NA,92,197764.724335628,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2012-10-01",92,356485.167328303,67547.2588465547,242388.7115898,506117.536770736,92,335373.109124549,72658.2996231988,215408.651171945,498738.442220071,92,168751.208269063,NA,NA,NA,92,196250.776057176,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2013-01-01",89,1169675.02675835,245803.814216218,761604.555267719,1720414.52278907,89,1125339.86529871,259813.617099832,701499.614317636,1713903.67366578,89,966818.918721242,NA,NA,NA,89,914574.066475234,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2013-04-01",92,649923.893776227,139133.65671049,419704.68150357,962322.315520827,92,609031.564398207,147304.061605444,370965.17666888,944617.376497304,92,522800.288770686,NA,NA,NA,92,493894.995927189,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2013-07-01",92,341041.778959246,72986.0952414074,220267.560911228,504912.365496128,92,313274.367197782,79863.8681532735,185633.241254941,496418.748429419,92,207314.23117888,NA,NA,NA,92,207200.434714549,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2013-10-01",92,453523.533503356,92418.9185203934,299271.440389765,659878.81447041,92,399976.976347797,111121.331361863,225832.959527124,657647.142904751,92,544091.860523019,NA,NA,NA,92,517825.358875164,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2014-01-01",89,216131.859896866,54525.5406153064,128789.390556137,341005.124074853,89,200641.599174358,56514.4313268941,112368.017320511,331926.63679823,89,253588.371939693,NA,NA,NA,89,226312.242726576,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2014-04-01",92,122067.633940309,34110.9222106995,68685.3044838894,201225.446537674,92,120347.909973503,36256.7676151984,64666.5543023958,205337.199287512,92,96948.2095041557,NA,NA,NA,92,100022.875761906,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2014-07-01",92,99317.9347659614,23605.2563682827,61031.8019499044,152979.868978365,92,99222.3203332151,32430.5252794491,50510.3489235456,176099.391472831,92,97483.2761055487,NA,NA,NA,92,93262.3356637105,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2014-10-01",92,195628.428220594,45366.7882527174,121684.955862433,298454.088433568,92,172849.833584494,52059.1034170659,92894.1352872215,294876.604977634,92,274059.069205424,NA,NA,NA,92,209696.669122263,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
