"site.id","constituent","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL5.years.record","RL5.years.complete","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","RL7.years.record","RL7.years.complete","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","CMP.years.record","CMP.years.complete","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","INT.years.record","INT.years.complete","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","BRE.years.record","BRE.years.complete","loadflex.version","run.date"
"Musk","NO23",16690104.0479609,1206215.92408248,14450714.2609704,19176365.3501592,10,10,15525013.753785,1128925.37676584,13429839.5981105,17852654.2609948,10,10,12712998.9134774,NA,NA,NA,10,10,12141266.2010633,NA,NA,NA,10,10,12436916.0919039,255589.924504087,11935959.8398759,12937872.3439319,10,0,"1.2.0","2017-12-12 14:31:59"
"Rac","NO23",45694799.8193542,6384583.91902849,34459483.6610859,59433054.4161053,10,10,28626093.647529,2975139.20269923,23238000.2765801,34886666.8063449,10,10,20837585.5193661,NA,NA,NA,10,10,19156615.5238087,NA,NA,NA,10,10,20718267.6436824,684962.466382902,19375741.2095719,22060794.0777929,10,0,"1.2.0","2017-12-12 14:31:59"
