"date","Q","NO23","status"
2004-06-11,111.002037765215,14.87,1
2004-07-02,87.2158868155262,14.2,1
2004-07-09,95.4277722624427,13.56,1
2004-09-27,9.14634137708279,2.36,1
2004-10-11,9.20297506982014,2.03,1
2004-11-01,14.1584231843387,1.57,1
2004-12-13,11.2417880083649,7.56,1
2005-01-10,8.86317291339601,6.94,1
2005-02-14,75.3228113406818,5.66,1
2005-02-23,49.2713126814986,11.83,1
2005-02-25,41.9089326256425,11.55,1
2005-03-04,29.1663517597377,10.1,1
2005-03-07,27.5806083630917,9.97,1
2005-03-25,21.8889222429876,7,1
2005-04-06,26.504568201082,8.65,1
2005-04-18,50.1208180725589,11.93,1
2005-05-11,146.398095726062,7.13,1
2005-05-12,268.160535111375,7.12,1
2005-05-20,156.308991955099,15.22,1
2005-06-01,93.4455930166353,15.87,1
2005-06-15,201.332777681296,14.53,1
2005-07-15,52.3861657820531,9.95,1
2005-08-12,22.4552591703611,1.3,1
2005-09-02,6.48455781842711,0.01,1
2005-10-10,3.53960579608467,0.02,1
2005-10-26,3.8794079525088,0.06,1
2005-11-04,3.51128894971599,0.18,1
2005-11-14,4.02099218435218,0.38,1
2005-11-16,3.59623948882202,0.53,1
2005-11-23,4.36079434077631,1.52,1
2005-12-07,4.02099218435218,2.5,1
2006-01-11,10.0241636145118,5.95,1
2006-01-16,9.79762884356236,6.89,1
2006-02-17,4.19089326256425,10.25,1
2006-02-20,8.7499055279213,9.53,1
2006-02-24,10.9586195446781,8.8,1
2006-03-07,13.8752547206519,6.14,1
2006-03-17,22.7101107876792,8.69,1
2006-03-28,30.2990256144848,8.43,1
2006-03-30,37.3782372066541,9.04,1
2006-04-03,147.530769580809,10.62,1
2006-04-07,137.336704888085,15.66,1
2006-04-19,68.2435997485124,13.12,1
2006-04-27,54.9346819552341,13.13,1
2006-04-28,52.6693342457399,13.15,1
2006-05-03,210.960505446646,16.5,1
2006-05-04,194.536734552813,18.5,1
2006-05-18,61.1643881563431,16.04,1
2006-06-08,35.1128894971599,12.97,1
2006-06-14,27.1841725139303,12.08,1
2006-06-15,26.2213997373952,11.84,1
2006-06-28,15.800800273722,7.68,1
2006-06-30,13.7336704888085,6.73,1
2006-07-11,18.8307028351704,2.16,1
2006-07-14,27.6089252094604,3.43,1
2006-07-20,9.08970768434543,1.76,1
2006-07-26,30.2990256144848,0.36,1
2006-08-15,6.82435997485124,0.05,1
2006-08-16,6.03148827652828,0.07,1
2006-09-05,13.9318884133893,1.91,1
2006-09-13,134.505020251217,4.79,1
2006-11-01,22.8233781731539,9.33,1
2006-11-07,19.9067429971802,8.9,1
2006-11-14,20.3881293854477,8.34,1
2006-11-15,21.5491200865635,8.36,1
2006-11-17,21.0394168519273,8.51,1
2006-11-22,18.2926827541656,8.88,1
2006-12-08,20.0766440753922,11.05,1
2006-12-13,20.8695157737152,9.39,1
2006-12-14,22.4835760167298,8.99,1
2006-12-20,17.726345826792,8.66,1
2007-01-19,37.3782372066541,13.93,1
2007-01-23,33.9802156424128,14.29,1
2007-02-07,29.1663517597377,14.08,1
2007-02-09,30.5821940781715,13.92,1
2007-02-27,32.564373323979,8.32,1
2007-03-01,31.1485310055451,8.39,1
2007-04-05,168.768404357317,13.33,1
2007-04-06,161.972361228834,14.28,1
2007-04-27,951.446037987559,7.3,1
2007-05-07,591.822089105357,8.48,1
2007-05-16,211.810010837707,13.69,1
2007-05-25,631.465674021505,6.85,1
2007-05-31,220.588233211997,13.07,1
2007-06-01,173.299099776305,14.76,1
2007-06-21,80.9861806144172,13.39,1
2007-06-26,97.6931199719369,12.61,1
2007-07-10,33.6970471787261,7.83,1
2007-08-06,41.3425956982689,0.84,1
2007-08-13,26.9010040502435,2.75,1
2007-08-21,18.434266986009,0.43,1
2007-09-18,49.5544811451854,5.16,1
2007-10-03,76.7386536591156,7.21,1
2007-10-05,98.825793826684,9.28,1
2007-10-18,308.653625418583,7.56,1
2007-10-26,135.071357178591,8.91,1
2007-10-29,107.320847737287,9.01,1
2007-12-10,32.2812048602922,8.72,1
2007-12-17,33.9802156424128,8.53,1
2007-12-20,33.1307102513525,8.49,1
2008-01-10,33.6970471787261,7.17,1
2008-01-21,20.7845652346092,8.17,1
2008-01-28,25.9382312737085,7.55,1
2008-02-04,31.7148679329186,6.32,1
2008-03-13,121.479270921626,2.58,1
2008-03-19,139.602052597579,4.86,1
2008-03-26,91.1802453071411,6.38,1
2008-04-16,172.166425921558,10.36,1
2008-04-21,161.122855837774,9.43,1
