"X","station","station_name","latitude","longitude","drainage_area","constituent","constit_units","start","end","n"
1,"MOGU02900","Mogu",2,2,200,"NO3","mg L^-1","2001-02-06","2014-12-09",83
1,"ORIZ02900","Oriz",3,3,300,"NO3","mg L^-1","2004-02-18","2014-12-02",63
1,"RONC02800","Ronc",1,1,100,"NO3","mg L^-1","2010-03-16","2014-12-10",29
1,"MOGU02900","Mogu",2,2,200,"PT","mg L^-1","2001-02-06","2014-12-09",84
1,"ORIZ02900","Oriz",3,3,300,"PT","mg L^-1","2002-11-28","2014-12-02",78
1,"RONC02800","Ronc",1,1,100,"PT","mg L^-1","2010-03-16","2014-12-10",29
