"X","site.id","model","multi_year_avg"
1,"MOGU02900","rloadest",9006.14720612659
2,"MOGU02900","interpolation",8617.86454084309
3,"MOGU02900","composite",8332.56083154843
1,"ORIZ02900","rloadest",216.776805089324
2,"ORIZ02900","interpolation",196.936377956194
3,"ORIZ02900","composite",191.109580016952
1,"RONC02800","rloadest",144.800957507442
2,"RONC02800","interpolation",187.738090615769
3,"RONC02800","composite",185.117511527659
1,"MOGU02900","rloadest",1833.20170855395
2,"MOGU02900","interpolation",1646.78664196536
3,"MOGU02900","composite",1702.56010963747
1,"ORIZ02900","rloadest",90.9574736749129
2,"ORIZ02900","interpolation",93.070738506152
3,"ORIZ02900","composite",86.6551049092853
1,"RONC02800","rloadest",95.6839174856778
2,"RONC02800","interpolation",33.145256614142
3,"RONC02800","composite",75.8061958735948
