"site.id","constituent","Water_Year","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"Musk","NO23","2002",365,13488299.2628208,1436337.49919262,10892308.9280486,16515716.2595106,365,13853010.8828419,1809480.0382483,10645216.3915489,17725014.8588036,365,11621114.6419885,NA,NA,NA,365,10510990.3810505,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2003",365,14535434.4028479,1363297.79121189,12046589.5351866,17385541.2622048,365,14569055.6796065,1374589.19251474,12060700.5829759,17443809.1885582,365,12733863.3366155,NA,NA,NA,365,12174632.4446802,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2004",366,28207386.2987809,2704971.00580733,23277354.9552972,33870104.5743445,366,26283978.2956406,2501877.50314265,21721551.0190256,31519127.1143212,366,18135655.4399383,NA,NA,NA,366,17779391.8690136,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2005",365,28512719.7634268,3121905.17471862,22883751.2636232,35105448.650234,365,24126733.430528,2966767.44824692,18834816.958906,30445141.2086894,365,13715627.8999084,NA,NA,NA,365,13510794.5587113,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2006",365,12008684.4782266,990181.418273461,10184868.7598235,14063476.71857,365,11746859.4144993,1098615.73559983,9740797.99487037,14043224.7012129,365,12556132.8501343,NA,NA,NA,365,11986734.6443342,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2007",365,19495462.5885117,1970100.39382087,15919393.851537,23633500.4022608,365,17189353.3064796,1992923.20998957,13614438.8662546,21415117.2047237,365,14398230.0498749,NA,NA,NA,365,12613734.2410182,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2008",366,20146297.8831203,2106624.41408681,16333040.6792292,24581059.9005747,366,17556750.2110465,2037321.2907892,13902494.2559997,21876934.0037843,366,15295583.2715375,NA,NA,NA,366,14350574.8015337,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2009",365,8143334.38793296,864234.46644149,6580898.23485478,9964492.70933933,365,7985209.11362518,819873.832846666,6498905.5127049,9709078.50161607,365,6285937.59560404,NA,NA,NA,365,5939685.98567593,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2010",365,8494506.00834825,931750.673165428,6814771.17279584,10462390.0585398,365,8589497.38690152,933722.119213134,6904890.32457174,10560314.0583852,365,9249159.80699069,NA,NA,NA,365,9378302.28258526,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
"Musk","NO23","2011",365,13827892.1834393,1775451.71393263,10674771.6224146,17621875.5584029,365,13314646.8002451,2025935.84078525,9785433.33518989,17706755.8877463,365,13138684.2421819,NA,NA,NA,365,13167820.8020304,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-06-11 21:40:33
