"site.id","constituent","Month","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"RONC02800","PT","2002-10",31,12984.352990306,622333.843782724,1.16032367235718,63221.7122179415,NA,NA,NA,NA,NA,31,6908.31361619067,NA,NA,NA,31,3981.27334154678,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2002-11",30,24838.8183099756,610369.52397077,7.08020592669889,144069.990884603,NA,NA,NA,NA,NA,30,14673.7165913799,NA,NA,NA,30,7015.76347294121,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2002-12",31,43241.0410002183,578582.109666867,37.0188296022571,280551.680284029,NA,NA,NA,NA,NA,31,27275.3744402316,NA,NA,NA,31,12970.5343812489,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-01",31,59373.9360431444,543991.019487901,103.514019441867,400919.984788539,NA,NA,NA,NA,NA,31,38706.5439156336,NA,NA,NA,31,21202.3109305839,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-02",28,63977.3355467016,477802.311919848,165.275740499739,436195.829189454,NA,NA,NA,NA,NA,28,42176.5383424581,NA,NA,NA,28,25711.3842039889,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-03",31,36816.7533344717,451862.406042623,36.99874533381,241606.6814941,NA,NA,NA,NA,NA,31,22794.3577533396,NA,NA,NA,31,15174.1522049238,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-04",30,25135.4830767216,381261.313117741,17.082299767093,160056.606083021,NA,NA,NA,NA,NA,30,15182.4965258838,NA,NA,NA,30,11295.3711525108,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-05",31,19884.5579907368,304570.621950826,13.2744267817916,126422.612237014,NA,NA,NA,NA,NA,31,12137.8842066525,NA,NA,NA,31,9352.78817695817,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-06",30,15269.3806566044,260998.111099937,8.34537627529602,95297.4143064781,NA,NA,NA,NA,NA,30,9302.23717422913,NA,NA,NA,30,6905.18731047331,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-07",31,13693.1622851122,238825.628649611,7.21486685639882,85152.9122062179,NA,NA,NA,NA,NA,31,8450.1176264664,NA,NA,NA,31,5560.75210513963,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-08",31,12891.1526868397,247531.740622292,5.70874066700711,78738.7660043529,NA,NA,NA,NA,NA,31,7936.70418329076,NA,NA,NA,31,4468.68328430492,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-09",30,13338.2746801738,282154.994069131,4.96437024110104,79907.8664315517,NA,NA,NA,NA,NA,30,8134.60902831969,NA,NA,NA,30,3947.69473798498,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-10",31,15105.9795600718,339438.362630788,5.04764545418643,89356.3887552802,NA,NA,NA,NA,NA,31,9137.12673009264,NA,NA,NA,31,3994.11779763614,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-11",30,21785.8741812838,368761.609283242,12.1202647141201,136201.939502124,NA,NA,NA,NA,NA,30,13548.6333311187,NA,NA,NA,30,5440.13026883304,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2003-12",31,40813.2870182199,347877.861092031,81.6992647027176,276820.10680285,NA,NA,NA,NA,NA,31,27443.7579592713,NA,NA,NA,31,11195.2192564528,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-01",31,44822.0221818778,351608.758736856,105.27844397517,305144.984650661,NA,NA,NA,NA,NA,31,30063.7872831231,NA,NA,NA,31,13993.2162637534,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-02",29,59738.7707182625,290459.508640931,360.314264737949,401957.09178907,NA,NA,NA,NA,NA,29,41542.7119797593,NA,NA,NA,29,23421.5629330993,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-03",31,50270.6046851192,245033.520078194,301.692578247104,338326.217101089,NA,NA,NA,NA,NA,31,34862.9043452944,NA,NA,NA,31,21911.8303443648,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-04",30,30719.2331960722,210321.609026305,93.9968570668159,209697.365167997,NA,NA,NA,NA,NA,30,20669.7631557709,NA,NA,NA,30,13351.2893146108,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-05",31,30106.6650569548,158449.227388554,154.938807417005,203848.326690868,NA,NA,NA,NA,NA,31,21072.3385193124,NA,NA,NA,31,14672.4674686534,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-06",30,27597.6321102299,129795.464692377,177.975136358359,185099.730495953,NA,NA,NA,NA,NA,30,19781.6404457807,NA,NA,NA,30,13432.3058664264,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-07",31,23458.5684938643,120445.100216495,126.845295958466,158556.404978399,NA,NA,NA,NA,NA,31,16943.7178863555,NA,NA,NA,31,9952.82063493182,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-08",31,19790.8291921195,127464.307268682,68.2651278785891,135062.36798354,NA,NA,NA,NA,NA,31,14127.8070534002,NA,NA,NA,31,6758.85680126499,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-09",30,16952.6666541356,153225.033335671,30.3325204550089,114577.731929692,NA,NA,NA,NA,NA,30,11696.1855004888,NA,NA,NA,30,4668.95047110335,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-10",31,30274.2598121787,158735.102889153,156.972583683907,204930.929913587,NA,NA,NA,NA,NA,31,22151.1254483066,NA,NA,NA,31,8275.68540004489,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-11",30,32331.6787409535,191868.698952779,131.054559887057,220238.119045708,NA,NA,NA,NA,NA,30,23111.8515102886,NA,NA,NA,30,8088.17918449707,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2004-12",31,45322.6146072356,201453.276880439,327.585895153477,302094.114093466,NA,NA,NA,NA,NA,31,32863.1407404056,NA,NA,NA,31,12395.5896720622,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-01",31,61274.5191456014,193076.788488566,894.6524974685,383998.691489351,NA,NA,NA,NA,NA,31,45040.0941794735,NA,NA,NA,31,21666.448171767,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-02",28,57535.9831548227,177263.485522361,879.927972765197,358568.452321801,NA,NA,NA,NA,NA,28,42007.3256869452,NA,NA,NA,28,22762.6578122376,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-03",31,44794.4795629911,153196.969262204,552.606558740112,285991.51390429,NA,NA,NA,NA,NA,31,32397.7245258844,NA,NA,NA,31,19516.9390702095,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-04",30,29784.5252420687,128424.110115427,228.949891631817,197776.989434791,NA,NA,NA,NA,NA,30,21187.66502621,NA,NA,NA,30,12547.4518123435,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-05",31,23311.1082262568,103392.371993502,169.224187219532,155338.245357741,NA,NA,NA,NA,NA,31,16743.0601899025,NA,NA,NA,31,10795.7589117087,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-06",30,20514.2464205527,84555.1609939471,172.799100185196,135382.154143797,NA,NA,NA,NA,NA,30,15036.6098459133,NA,NA,NA,30,8894.68036353144,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-07",31,18250.2230064679,77466.8732319613,144.81950402338,120935.766100693,NA,NA,NA,NA,NA,31,13549.4516983122,NA,NA,NA,31,7036.53979961557,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-08",31,16334.7439040755,80971.6856226355,94.7727890139606,110096.91645774,NA,NA,NA,NA,NA,31,12087.7027304276,NA,NA,NA,31,5191.91070831886,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-09",30,20169.2088385671,86806.5967591909,155.612459698216,133897.120199108,NA,NA,NA,NA,NA,30,15215.0947208883,NA,NA,NA,30,5633.11213926601,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-10",31,22962.9866403181,102908.940715909,163.240442486938,153206.320870543,NA,NA,NA,NA,NA,31,17205.7731759094,NA,NA,NA,31,5653.31568161719,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-11",30,29414.7718113866,118478.897710204,259.667516136265,193457.611460469,NA,NA,NA,NA,NA,30,22047.5269183434,NA,NA,NA,30,7104.32490320231,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2005-12",31,34877.0708032799,130676.592418438,356.86501782315,226660.727541974,NA,NA,NA,NA,NA,31,25918.6369328035,NA,NA,NA,31,8678.85159400738,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2006-01",31,43765.1366737211,127094.557518196,756.14411624134,268527.366349597,NA,NA,NA,NA,NA,31,32757.3223889928,NA,NA,NA,31,14171.966438267,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2006-02",28,48190.8956412368,111630.231636164,1327.2866066225,274860.91582874,NA,NA,NA,NA,NA,28,36282.7038793192,NA,NA,NA,28,18716.5343613266,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2006-03",31,42011.3303534826,93690.6866932172,1250.98449977879,236185.84143027,NA,NA,NA,NA,NA,31,31660.3162862263,NA,NA,NA,31,17780.9632427319,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","PT","2006-04",30,28934.3812103167,78114.1428547661,581.156988251397,173806.227957928,NA,NA,NA,NA,NA,30,21604.345294952,NA,NA,NA,30,12540.0689286167,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
