"site.name","site.id","constituent","consti.name","conc.units","flow.units","load.units","load.rate.units","lat","lon","basin.area","flow.site.name","flow.site.id","flow.lat","flow.lon","flow.basin.area","basin.area.units","basin.area.ratio.QC","fitdat.start","fitdat.end","fitdat.num.total","fitdat.num.incomplete","fitdat.num.censored","fitdat.min.gap.days","fitdat.max.gap.days","fitdat.median.gap.days","estdat.start","estdat.end","estdat.num.total","estdat.num.incomplete","estdat.min.gap.days","estdat.max.gap.days","estdat.median.gap.days"
"Mogu","MOGU02900","PT","PT","mg L^-1","m^3 s^-1","kg","kg d^-1",2,2,200,"Mogu","MOGU02900",2,2,250,"km^2",1.25,"2001-02-06","2014-12-09",81,0,81,41,173,63,"2001-01-01","2014-12-31",5113,0,1,1,1
"Oriz","ORIZ02900","PT","PT","mg L^-1","m^3 s^-1","kg","kg d^-1",3,3,300,"Oriz","ORIZ02900",3,3,300,"km^2",1,"2002-11-28","2014-12-02",76,0,76,19,127,56,"2001-01-01","2014-12-31",5113,0,1,1,1
"Ronc","RONC02800","PT","PT","mg L^-1","m^3 s^-1","kg","kg d^-1",1,1,100,"Ronc","RONC02800",1,1,100,"km^2",1,"2010-03-16","2014-12-10",26,0,26,34,119,63,"2001-01-01","2014-12-31",5113,0,1,1,1
