"site.id","constituent","REG.model","REG.RMSE","REG.r.squared","REG.p.value","REG.Intercept","REG.lnQ","REG.DECTIME","REG.sin.DECTIME","REG.cos.DECTIME","REG.Intercept.SE","REG.lnQ.SE","REG.DECTIME.SE","REG.sin.DECTIME.SE","REG.cos.DECTIME.SE","REG.Intercept.p.value","REG.lnQ.p.value","REG.DECTIME.p.value","REG.sin.DECTIME.p.value","REG.cos.DECTIME.p.value","INT.site.id","INT.constituent","INT.RMSE.lin","INT.durbin.watson","INT.rho","INT.acf1","INT.acf1demean","INT.corlag1","CMP.RMSE.log","CMP.reg.durbin.watson","CMP.reg.rho","CMP.int.durbin.watson","CMP.int.rho","CMP.correction.frac"
"MOGU02900","PT","rloadest_7",0.636626711556876,62.469325071174,5.55111512312578e-16,6.24527413247801,1.39770447928896,-0.0182218579069502,-0.219904226450516,-0.0545345354822625,0.0721449950732025,0.159004999872154,0.0177337419336137,0.131775918463456,0.113181452395298,6.82373714765804e-81,1.41412715269336e-13,0.289839228907163,0.0897077985482483,0.625564805287237,"MOGU02900","PT",0.0506934931417591,0.294072187681215,0.852691973146743,0.838237363965462,0.20699925876701,0.208089234506338,0.853557509543575,1.66477462506744,0.164518843980342,1.66477462506744,0.164518843980342,0.355239599517667
"ORIZ02900","PT","rloadest_7",0.763586674708727,12.7727270903792,0.0423571647564321,3.52663790396385,0.408661141809095,-0.00723051393844602,-0.304829119248243,0.143544955767232,0.0909746583094349,0.229648355384126,0.0247671082638313,0.186934499446796,0.155719449152689,2.72119283140533e-51,0.0681988222382794,0.761096528078445,0.0932996950235208,0.34372870939752,"ORIZ02900","PT",0.334571033288582,0.738555686880673,0.625342173421219,0.619441870833362,0.384977686241701,0.386943825475758,1.01139995645006,1.21633771060072,0.384697827013536,1.21633771060072,0.384697827013536,0.537282463055075
"RONC02800","PT","rloadest_7",0.719059887871837,42.0750897828294,0.00775554688637548,2.39967772589971,0.166466451493865,-0.278234777659746,0.082249467887697,0.297187778168296,0.144454044955227,0.420569397513223,0.152362461150036,0.240726676354087,0.227274114555945,1.69007320335168e-15,0.661994749163576,0.0492872579328398,0.70524073405514,0.152502731748341,"RONC02800","PT",0.029253697991089,0.33438070949167,0.861620414349558,0.734140235683119,0.246328226183029,0.288343046426102,1.01683493979382,1.52947429494235,0.215905135534694,1.52947429494235,0.215905135534694,0.198483349601116
