"date","Q_m3s","CODIGO_ESTACAO"
"2001-01-01",14.7992111432613,"ORIZ02900"
"2001-01-02",14.0682001703362,"ORIZ02900"
"2001-01-03",12.9911335692449,"ORIZ02900"
"2001-01-04",11.5434997935282,"ORIZ02900"
"2001-01-05",10.1485683237871,"ORIZ02900"
"2001-01-06",8.9443996095844,"ORIZ02900"
"2001-01-07",8.49436428580614,"ORIZ02900"
"2001-01-08",8.0173642549908,"ORIZ02900"
"2001-01-09",7.61702869527627,"ORIZ02900"
"2001-01-10",7.52561274055619,"ORIZ02900"
"2001-01-11",7.77080866800308,"ORIZ02900"
"2001-01-12",8.12224383927248,"ORIZ02900"
"2001-01-13",8.46662178848687,"ORIZ02900"
"2001-01-14",8.64190694093489,"ORIZ02900"
"2001-01-15",8.77140822683133,"ORIZ02900"
"2001-01-16",8.51037995496533,"ORIZ02900"
"2001-01-17",7.79102995778382,"ORIZ02900"
"2001-01-18",6.9538513553793,"ORIZ02900"
"2001-01-19",6.38156239772483,"ORIZ02900"
"2001-01-20",6.66266391631221,"ORIZ02900"
"2001-01-21",6.69528341597061,"ORIZ02900"
"2001-01-22",6.98247832735886,"ORIZ02900"
"2001-01-23",6.9795713092939,"ORIZ02900"
"2001-01-24",6.77899222839739,"ORIZ02900"
"2001-01-25",7.39254709713177,"ORIZ02900"
"2001-01-26",8.22150946038361,"ORIZ02900"
"2001-01-27",9.54233541516118,"ORIZ02900"
"2001-01-28",10.5174587481871,"ORIZ02900"
"2001-01-29",11.606238971579,"ORIZ02900"
"2001-01-30",12.1622375643046,"ORIZ02900"
"2001-01-31",12.6686670607715,"ORIZ02900"
"2001-02-01",12.89829268518,"ORIZ02900"
"2001-02-02",12.5449528432676,"ORIZ02900"
"2001-02-03",11.8946424561851,"ORIZ02900"
"2001-02-04",10.8429993837084,"ORIZ02900"
"2001-02-05",9.49734276302076,"ORIZ02900"
"2001-02-06",8.38511027069934,"ORIZ02900"
"2001-02-07",7.92101721059729,"ORIZ02900"
"2001-02-08",8.05450244409393,"ORIZ02900"
"2001-02-09",8.86276486889691,"ORIZ02900"
"2001-02-10",9.90246549574415,"ORIZ02900"
"2001-02-11",11.1427363489996,"ORIZ02900"
"2001-02-12",11.6163561081553,"ORIZ02900"
"2001-02-13",11.8838449409745,"ORIZ02900"
"2001-02-14",11.8361239370021,"ORIZ02900"
"2001-02-15",11.766271551021,"ORIZ02900"
"2001-02-16",11.396430947563,"ORIZ02900"
"2001-02-17",11.9078356239623,"ORIZ02900"
"2001-02-18",11.7753253956856,"ORIZ02900"
"2001-02-19",11.6868048583574,"ORIZ02900"
"2001-02-20",11.3066802821443,"ORIZ02900"
"2001-02-21",10.3873705257801,"ORIZ02900"
"2001-02-22",9.27717885079344,"ORIZ02900"
"2001-02-23",8.39307378489512,"ORIZ02900"
"2001-02-24",7.60407522173668,"ORIZ02900"
"2001-02-25",7.43972973466523,"ORIZ02900"
"2001-02-26",7.1455880516964,"ORIZ02900"
"2001-02-27",6.83909487410538,"ORIZ02900"
"2001-02-28",6.50422300161707,"ORIZ02900"
"2001-03-01",6.32364136853797,"ORIZ02900"
"2001-03-02",6.09412721182502,"ORIZ02900"
"2001-03-03",5.97815075373368,"ORIZ02900"
"2001-03-04",5.9071618991134,"ORIZ02900"
"2001-03-05",5.8920000929223,"ORIZ02900"
"2001-03-06",6.07455108915364,"ORIZ02900"
"2001-03-07",6.2814563863926,"ORIZ02900"
"2001-03-08",6.64607491988615,"ORIZ02900"
"2001-03-09",7.10072322067986,"ORIZ02900"
"2001-03-10",7.84493436652774,"ORIZ02900"
"2001-03-11",8.68562698573727,"ORIZ02900"
"2001-03-12",9.57584854359104,"ORIZ02900"
"2001-03-13",9.83640074769944,"ORIZ02900"
"2001-03-14",9.17484444004571,"ORIZ02900"
"2001-03-15",8.22725888657214,"ORIZ02900"
"2001-03-16",7.44480429594659,"ORIZ02900"
"2001-03-17",6.82449452273774,"ORIZ02900"
"2001-03-18",6.29395014006592,"ORIZ02900"
"2001-03-19",5.93964243476857,"ORIZ02900"
"2001-03-20",5.65269948524605,"ORIZ02900"
"2001-03-21",5.6234193174682,"ORIZ02900"
"2001-03-22",5.55368127900289,"ORIZ02900"
"2001-03-23",5.6703242757852,"ORIZ02900"
"2001-03-24",5.69048719612134,"ORIZ02900"
"2001-03-25",5.66794876576389,"ORIZ02900"
