"date","Q_m3s","CODIGO_ESTACAO"
"2001-01-01",25.7947998097332,"RONC02800"
"2001-01-02",24.5206588083794,"RONC02800"
"2001-01-03",22.6433481133731,"RONC02800"
"2001-01-04",20.1201444722505,"RONC02800"
"2001-01-05",17.6888001484246,"RONC02800"
"2001-01-06",15.5899524044929,"RONC02800"
"2001-01-07",14.8055476837417,"RONC02800"
"2001-01-08",13.9741438889711,"RONC02800"
"2001-01-09",13.2763651006567,"RONC02800"
"2001-01-10",13.1170284827388,"RONC02800"
"2001-01-11",13.5444012529107,"RONC02800"
"2001-01-12",14.1569474083267,"RONC02800"
"2001-01-13",14.7571929330969,"RONC02800"
"2001-01-14",15.0627122863412,"RONC02800"
"2001-01-15",15.2884310569206,"RONC02800"
"2001-01-16",14.8334627513613,"RONC02800"
"2001-01-17",13.5796466532729,"RONC02800"
"2001-01-18",12.1204570893853,"RONC02800"
"2001-01-19",11.1229661452318,"RONC02800"
"2001-01-20",11.6129218143538,"RONC02800"
"2001-01-21",11.669777105858,"RONC02800"
"2001-01-22",12.1703534659031,"RONC02800"
"2001-01-23",12.1652865776546,"RONC02800"
"2001-01-24",11.8156802920452,"RONC02800"
"2001-01-25",12.8850970912302,"RONC02800"
"2001-01-26",14.3299658753087,"RONC02800"
"2001-01-27",16.6321454142837,"RONC02800"
"2001-01-28",18.3317705444149,"RONC02800"
"2001-01-29",20.2294979048343,"RONC02800"
"2001-01-30",21.1985949908219,"RONC02800"
"2001-01-31",22.0812938963683,"RONC02800"
"2001-02-01",22.4815278652917,"RONC02800"
"2001-02-02",21.86566189793,"RONC02800"
"2001-02-03",20.7321807896061,"RONC02800"
"2001-02-04",18.8991829180824,"RONC02800"
"2001-02-05",16.5537239062968,"RONC02800"
"2001-02-06",14.6151195980276,"RONC02800"
"2001-02-07",13.8062124567933,"RONC02800"
"2001-02-08",14.0388751874125,"RONC02800"
"2001-02-09",15.4476642937843,"RONC02800"
"2001-02-10",17.2598466643149,"RONC02800"
"2001-02-11",19.4216198872166,"RONC02800"
"2001-02-12",20.2471319199251,"RONC02800"
"2001-02-13",20.7133608849097,"RONC02800"
"2001-02-14",20.6301839011994,"RONC02800"
"2001-02-15",20.5084322554413,"RONC02800"
"2001-02-16",19.8638057118126,"RONC02800"
"2001-02-17",20.7551762802695,"RONC02800"
"2001-02-18",20.524212968911,"RONC02800"
"2001-02-19",20.369923019445,"RONC02800"
"2001-02-20",19.7073716678048,"RONC02800"
"2001-02-21",18.1050287524294,"RONC02800"
"2001-02-22",16.1699815577178,"RONC02800"
"2001-02-23",14.6289998820829,"RONC02800"
"2001-02-24",13.253787393402,"RONC02800"
"2001-02-25",12.9673357104302,"RONC02800"
"2001-02-26",12.4546512332354,"RONC02800"
"2001-02-27",11.9204382888779,"RONC02800"
"2001-02-28",11.3367617111787,"RONC02800"
"2001-03-01",11.0220106727958,"RONC02800"
"2001-03-02",10.6219709903695,"RONC02800"
"2001-03-03",10.4198257888348,"RONC02800"
"2001-03-04",10.2960932955332,"RONC02800"
"2001-03-05",10.2696664980731,"RONC02800"
"2001-03-06",10.5878501064608,"RONC02800"
"2001-03-07",10.9484828908834,"RONC02800"
"2001-03-08",11.5840074460329,"RONC02800"
"2001-03-09",12.3764525155222,"RONC02800"
"2001-03-10",13.6736012174015,"RONC02800"
"2001-03-11",15.1389156591043,"RONC02800"
"2001-03-12",16.6905582871374,"RONC02800"
"2001-03-13",17.14469681384,"RONC02800"
"2001-03-14",15.9916142370998,"RONC02800"
"2001-03-15",14.3399870376611,"RONC02800"
"2001-03-16",12.9761805935194,"RONC02800"
"2001-03-17",11.8949900986309,"RONC02800"
"2001-03-18",10.9702593134073,"RONC02800"
"2001-03-19",10.3527063748945,"RONC02800"
"2001-03-20",9.85256918054699,"RONC02800"
"2001-03-21",9.80153429369297,"RONC02800"
"2001-03-22",9.67998195391469,"RONC02800"
"2001-03-23",9.88328892224436,"RONC02800"
"2001-03-24",9.91843258555286,"RONC02800"
"2001-03-25",9.8791484444275,"RONC02800"
"2001-03-26",9.75474552440881,"RONC02800"
