"site.id","constituent","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL5.years.record","RL5.years.complete","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","RL7.years.record","RL7.years.complete","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","CMP.years.record","CMP.years.complete","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","INT.years.record","INT.years.complete","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","BRE.years.record","BRE.years.complete","loadflex.version","run.date"
"RONC02800","NO3",53696.0706680636,13891.7687611776,31565.4484064328,85612.3744505404,13,12,57970.7737476682,24849.987275287,23821.4288515886,119176.146568914,13,7,70904.8155730394,NA,NA,NA,13,12,71306.3621178101,NA,NA,NA,13,12,59400.7062867413,5209.69531325758,49189.7034727565,69611.7091007262,13,0,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3",3427833.81788337,274427.022249975,2921420.84914189,3996416.3710011,15,13,3403644.65339745,263717.217027456,2916017.73615713,3949106.69797157,15,13,3179095.55893486,NA,NA,NA,15,13,3277406.28288966,NA,NA,NA,15,13,3070615.6866007,185080.04987251,2707858.78885058,3433372.58435082,15,0,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3",68825.8381168539,7218.22508385834,55763.1526419234,84024.3036269863,12,11,68759.9315819978,7140.56262698809,55827.239435107,83784.9875020885,12,11,61213.6603294685,NA,NA,NA,12,11,65082.2861164103,NA,NA,NA,12,11,79821.2534760596,7268.47784515571,65575.0368995544,94067.4700525649,12,0,"1.2.0","2017-12-12 14:31:59"
