"site.name","site.id","constituent","consti.name","conc.units","flow.units","load.units","load.rate.units","lat","lon","basin.area","flow.site.name","flow.site.id","flow.lat","flow.lon","flow.basin.area","basin.area.units","basin.area.ratio.QC","fitdat.start","fitdat.end","fitdat.num.total","fitdat.num.incomplete","fitdat.num.censored","fitdat.min.gap.days","fitdat.max.gap.days","fitdat.median.gap.days","estdat.start","estdat.end","estdat.num.total","estdat.num.incomplete","estdat.min.gap.days","estdat.max.gap.days","estdat.median.gap.days","loadflex.version","run.date"
"Ronc","RONC02800","NO3","Nitrate","mg L^-1","m^3 s^-1","kg","kg d^-1",-20.25,-48.43,100,"Ronc","RONC02800",-20.25,-48.43,100,"km^2",1,"2010-03-16","2014-10-29",25,0,0,34,111,63.5,"2002-10-01","2014-12-31",4475,0,1,1,1,"1.2.0","2017-12-12 14:31:59"
"Mogu","MOGU02900","NO3","Nitrate","mg L^-1","m^3 s^-1","kg","kg d^-1",-20.15,-48.63,200,"Mogu","MOGU02900",-20.15,-48.63,200,"km^2",1,"2001-02-06","2014-12-09",81,0,5,41,126,63,"2001-01-01","2014-12-31",5113,0,1,1,1,"1.2.0","2017-12-12 14:31:59"
"Oriz","ORIZ02900","NO3","Nitrate","mg L^-1","m^3 s^-1","kg","kg d^-1",-21.41,-47.87,300,"Oriz","ORIZ02900",-21.41,-47.87,350,"km^2",1.16666666666667,"2004-02-18","2014-12-02",62,0,4,21,112,63,"2001-01-01","2012-09-30",4291,0,1,1,1,"1.2.0","2017-12-12 14:31:59"
