"site.id","constituent","REG.model","REG.RMSE","REG.r.squared","REG.p.value","REG.Intercept","REG.lnQ","REG.DECTIME","REG.sin.DECTIME","REG.cos.DECTIME","REG.Intercept.SE","REG.lnQ.SE","REG.DECTIME.SE","REG.sin.DECTIME.SE","REG.cos.DECTIME.SE","REG.Intercept.p.value","REG.lnQ.p.value","REG.DECTIME.p.value","REG.sin.DECTIME.p.value","REG.cos.DECTIME.p.value","INT.site.id","INT.constituent","INT.RMSE.lin","INT.durbin.watson","INT.rho","INT.acf1","INT.acf1demean","INT.corlag1","CMP.RMSE.log","CMP.reg.durbin.watson","CMP.reg.rho","CMP.int.durbin.watson","CMP.int.rho","CMP.correction.frac"
"MOGU02900","NO3","rloadest_7",0.570408845206081,38.8436507281559,8.58757097654816e-08,8.0086016092632,0.762859671807536,0.0685239840174786,-0.206776800254611,-0.0907897956256401,0.0650764481291752,0.143862860111243,0.0162903939386082,0.119487838251484,0.0998246558525817,1.54952243960996e-92,4.11388431775281e-07,3.40437656005955e-05,0.0766389987313965,0.349212611461122,"MOGU02900","NO3",0.255737857682143,0.201303139939901,0.898186035376743,0.886968907125991,0.45323836298892,0.458724472749696,0.802956102611524,1.99935663044313,-0.00160340533912343,1.99935663044313,-0.00160340533912343,0.24360394085147
"ORIZ02900","NO3","rloadest_7",0.608164895923556,27.145148874008,0.000811226186790415,4.60070948898709,0.43812962056996,0.0571467892102253,0.136311803491953,-0.265061355282074,0.0800314693795966,0.188160230167367,0.0256265734278728,0.154680715004684,0.134605168028285,2.67510613464355e-53,0.0184142388010801,0.0224307075602992,0.360537568456754,0.0434226045210187,"ORIZ02900","NO3",0.405871225406413,0.554991864623446,0.714587488696781,0.714547317026936,0.094205056879185,0.0957705036427674,0.912703058374223,2.02868632980881,-0.0440340601450282,2.02868632980881,-0.0440340601450282,0.51423949736138
"RONC02800","NO3","rloadest_7",0.323436071427967,74.694738534546,1.19448059088256e-06,4.05347564651869,0.719490787427623,0.00330665245104356,0.105639777348527,-0.0749709270191235,0.0653819357947892,0.184968381856553,0.0666396800580385,0.11103561685526,0.110238427701398,2.6943566890969e-29,0.000216119313669159,0.954918104926631,0.292181558231459,0.452753566820039,"RONC02800","NO3",0.0584294446319662,0.138955438428366,0.936747648907521,0.874045679603897,0.253792737311531,0.259527641538853,0.45931700616802,1.26668505942148,0.343984737261159,1.26668505942148,0.343984737261159,0.31724349031271
